Date,Category,Subcategory,Description,Amount ,Payment Method,Expense Type,Month
14-01-2024,Transportation,Parking,College parking  month,310.94,Cash,Need,January
08-01-2024,Healthcare,Doctor Visits,General physician visit,770.58,Cash,Need,January
15-02-2024,Miscellaneous,Miscellaneous,Vending machine,2454.48,Cash,Want,February
19-02-2024,Shopping,Clothing,H&M T-shirts,999.18,Credit Card,Want,February
09-02-2024,Education,Online Courses,NPTEL exam fee,1834.25,UPI,Need,February
26-02-2024,Entertainment,Subscriptions,JioSaavn,758.37,Credit Card,Want,February
28-02-2024,Transportation,Vehicle Maintenance,Oil change,40.79,UPI,Need,February
01-02-2024,Education,Online Courses,Udemy course Python,2236.63,Debit Card,Need,February
25-02-2024,Food,Groceries,Reliance Smart Bazaar,757.69,Cash,Need,February
26-02-2024,Food,Snacks,Murukku packet,455.44,Debit Card,Need,February
06-02-2024,Education,Tuition Fees,Lab fee payment,1125.72,Net Banking,Need,February
23-02-2024,Healthcare,Medicines,Vitamin D supplements,1350.52,Credit Card,Need,February
14-02-2024,Bills,Subscriptions,Notion Pro plan,1096.41,Net Banking,Need,February
11-02-2024,Education,Books & Stationery,Printer paper,123.12,UPI,Need,February
09-02-2024,Bills,Internet,BSNL broadband,1123.35,UPI,Need,February
05-02-2024,Bills,Mobile Recharge,Airtel postpaid bill,1490.12,Debit Card,Need,February
07-02-2024,Healthcare,Mental Health,Counselling session,484.7,Cash,Need,February
25-02-2024,Bills,Electricity,Electricity PG room,5213.25,Auto-debit,Need,February
11-02-2024,Healthcare,Insurance,Two-wheeler insurance,1375.06,Credit Card,Need,February
04-02-2024,Food,Groceries,Nilgiris dairy run,167.5,Credit Card,Need,February
03-02-2024,Food,Groceries,Spencer's weekly shop,364.61,Credit Card,Need,February
13-02-2024,Bills,Subscriptions,Notion Pro plan,870.75,Net Banking,Need,February
04-02-2024,Shopping,Clothing,College fest outfit,105.75,UPI,Want,February
12-02-2024,Healthcare,Gym & Fitness,Cult.fit monthly pass,1900.31,Credit Card,Want,February
28-02-2024,Healthcare,Doctor Visits,Dentist check-up,1038.89,Net Banking,Need,February
12-02-2024,Healthcare,Gym & Fitness,Yoga class,1131.1,Cash,Want,February
20-02-2024,Bills,Rent,Shared apartment share,4539.18,Net Banking,Need,February
09-02-2024,Shopping,Home Essentials,Detergent & soap,1133.17,UPI,Need,February
26-02-2024,Bills,Subscriptions,Notion Pro plan,3997.29,Debit Card,Need,February
02-02-2024,Miscellaneous,Stationery,Spiral binding,2054.47,UPI,Need,February
24-02-2024,Transportation,Fuel,Petrol for road trip,69.63,Cash,Need,February
15-02-2024,Shopping,Electronics,Zebronics mouse,601,Credit Card,Want,February
18-02-2024,Entertainment,Events,College fest tickets,710.35,UPI,Want,February
04-02-2024,Bills,Rent,Hostel room rent,1615.11,UPI,Need,February
13-02-2024,Transportation,Vehicle Maintenance,Tyre puncture repair,117.89,Debit Card,Need,February
03-03-2024,Miscellaneous,Travel,Kodaikanal road trip share,3671.53,Cash,Want,March
18-03-2024,Miscellaneous,Donations,Friend crowdfund,2676.96,Credit Card,Want,March
10-03-2024,Miscellaneous,Miscellaneous,Random online purchase,3325.67,Debit Card,Want,March
27-03-2024,Education,Exam Fees,TCS iON test fee,814.62,Credit Card,Need,March
21-03-2024,Shopping,Gifts,Farewell gift pooling,2230.94,Debit Card,Want,March
20-03-2024,Miscellaneous,Travel,Train ticket home,953.28,Credit Card,Want,March
29-03-2024,Healthcare,Insurance,Health insurance premium,319.83,Cash,Need,March
28-03-2024,Bills,Internet,Wi-Fi router recharge,1440.93,Debit Card,Need,March
12-03-2024,Bills,Electricity,Smart meter top-up,2902.36,UPI,Need,March
19-03-2024,Entertainment,Events,Stand-up comedy,1362.02,Credit Card,Want,March
07-03-2024,Bills,Rent,PG accommodation fee,5667.9,Auto-debit,Need,March
23-03-2024,Bills,Rent,Shared apartment  share,4535.59,Net Banking,Need,March
03-03-2024,Miscellaneous,Donations,Flood relief fund,1754.63,Cash,Want,March
02-03-2024,Bills,Electricity,Smart meter top-up,4139.02,Debit Card,Need,March
22-03-2024,Education,Exam Fees,Gate exam form,2943.13,Net Banking,Need,March
08-03-2024,Bills,Subscriptions,Notion Pro plan,4045.4,UPI,Need,March
25-03-2024,Bills,Internet,BSNL broadband,1254.03,Auto-debit,Need,March
10-03-2024,Bills,Electricity,EB bill  hostel share,2837.26,Auto-debit,Need,March
03-03-2024,Bills,Electricity,Electricity PG room,1663.17,UPI,Need,March
28-03-2024,Miscellaneous,Travel,Weekend trip Pondicherry,3999.63,Credit Card,Want,March
08-03-2024,Entertainment,Movies,PVR Cinemas  Avengers,1143.64,UPI,Want,March
28-03-2024,Entertainment,Movies,SPI Sathyam Tamil film,395.89,Cash,Want,March
04-03-2024,Transportation,Parking,College parking  month,287.04,UPI,Need,March
13-03-2024,Healthcare,Medicines,Pharmacy fever meds,1566.69,Cash,Need,March
09-03-2024,Shopping,Clothing,Flipkart ethnic wear,187.31,Debit Card,Want,March
15-03-2024,Bills,Rent,Shared apartment  share,1350.31,Net Banking,Need,March
21-03-2024,Transportation,Fuel,Petrol  Honda Activa,480.79,Debit Card,Need,March
27-03-2024,Food,Snacks,Murukku packet,359.85,Credit Card,Need,March
12-03-2024,Transportation,Parking,Parking meter fee,214.62,UPI,Need,March
06-03-2024,Miscellaneous,Travel,Flight  semester break,3843.93,Debit Card,Want,March
12-03-2024,Education,Exam Fees,Gate exam form,2214.7,UPI,Need,March
12-03-2024,Miscellaneous,Stationery,Ruler & geometry box,3306.42,Credit Card,Need,March
07-03-2024,Healthcare,Medicines,Pharmacy  fever meds,593.91,Net Banking,Need,March
22-04-2024,Entertainment,Events,Stand-up comedy,537.78,Cash,Want,April
09-04-2024,Healthcare,Medicines,Protein supplements,463.63,Credit Card,Need,April
23-04-2024,Healthcare,Mental Health,Stress-relief workshop,1417.31,Credit Card,Need,April
30-04-2024,Food,Meal Prep,Home cook ingredients,95.92,Debit Card,Need,April
22-04-2024,Miscellaneous,Miscellaneous,Bank charges,2768.63,Debit Card,Want,April
21-04-2024,Miscellaneous,Travel,Weekend trip  Pondicherry,1191.06,Debit Card,Want,April
03-04-2024,Entertainment,Subscriptions,JioSaavn,585.08,Debit Card,Want,April
20-04-2024,Bills,Subscriptions,iCloud storage 50GB,2240.5,Debit Card,Need,April
21-04-2024,Shopping,Personal Care,The Ordinary serum,883.83,UPI,Need,April
06-04-2024,Healthcare,Doctor Visits,General physician visit,423.5,Net Banking,Need,April
18-04-2024,Shopping,Gifts,Wedding contribution,3433.74,UPI,Want,April
24-04-2024,Shopping,Electronics,Pen drive Kingston,710.1,Credit Card,Want,April
08-04-2024,Education,Online Courses,Coursera subscription,2924.17,UPI,Need,April
06-04-2024,Education,Exam Fees,Gate exam form,2624.52,UPI,Need,April
15-04-2024,Miscellaneous,Stationery,Ruler & geometry box,1376.01,Cash,Need,April
13-04-2024,Shopping,Home Essentials,Detergent & soap,2895.19,Cash,Need,April
09-04-2024,Miscellaneous,Travel,Weekend trip Pondicherry,623.87,Credit Card,Want,April
30-04-2024,Transportation,Ride Share,Ola cab  college,341.47,UPI,Want,April
21-04-2024,Entertainment,Hobbies,Guitar strings,703.25,Cash,Want,April
23-04-2024,Shopping,Gifts,Farewell gift pooling,1138.29,Credit Card,Want,April
18-04-2024,Transportation,Ride Share,Rapido bike ride,169.82,Cash,Want,April
08-04-2024,Education,Books & Stationery,Higginbothams reference book,1678.38,Credit Card,Need,April
22-04-2024,Food,Beverages,Boost health drink,560.82,Debit Card,Want,April
11-04-2024,Shopping,Clothing,H&M T-shirts,1079.56,Debit Card,Want,April
27-04-2024,Miscellaneous,Travel,Kodaikanal road trip share,3697.17,UPI,Want,April
25-04-2024,Bills,Mobile Recharge,Vi recharge 28-day,1503.89,Net Banking,Need,April
25-04-2024,Shopping,Electronics,Boat earphones,302.77,Debit Card,Want,April
02-04-2024,Shopping,Home Essentials,Detergent & soap,1693.57,Debit Card,Need,April
08-04-2024,Bills,Electricity,Smart meter top-up,3331.89,Debit Card,Need,April
27-04-2024,Transportation,Parking,College parking  month,535.31,Debit Card,Need,April
02-04-2024,Healthcare,Insurance,Two-wheeler insurance,100.44,Cash,Need,April
26-04-2024,Food,Snacks,Murukku packet,60.98,Cash,Need,April
11-04-2024,Miscellaneous,Miscellaneous,Random online purchase,3665.97,UPI,Want,April
13-05-2024,Bills,Rent,PG accommodation fee,2926.06,Debit Card,Need,May
09-05-2024,Healthcare,Mental Health,Stress-relief workshop,253.97,Cash,Need,May
03-05-2024,Healthcare,Gym & Fitness,Zumba session,612.02,Net Banking,Want,May
07-05-2024,Food,Beverages,Cafe latte Starbucks,272.18,Credit Card,Want,May
30-05-2024,Transportation,Vehicle Maintenance,Bike service  TVS,399.73,Debit Card,Need,May
31-05-2024,Miscellaneous,Stationery,Printing  assignment,766.58,Credit Card,Need,May
19-05-2024,Miscellaneous,Stationery,Printing assignment,830.16,UPI,Need,May
29-05-2024,Shopping,Home Essentials,Bedsheet - Pepperfry,512.85,UPI,Need,May
23-05-2024,Education,Online Courses,Coursera subscription,1679.14,Net Banking,Need,May
11-05-2024,Entertainment,Movies,Netflix DVD plan,1423.24,UPI,Want,May
07-05-2024,Miscellaneous,Emergency Fund,Emergency medicine,1673.65,Debit Card,Need,May
21-05-2024,Miscellaneous,Donations,Friend crowdfund,2214.04,Debit Card,Want,May
16-05-2024,Entertainment,Hobbies,Cricket bat purchase,1302.84,Debit Card,Want,May
13-05-2024,Bills,Electricity,Smart meter top-up,1749.6,UPI,Need,May
29-05-2024,Shopping,Personal Care,Sunscreen SPF 50,2071.74,Cash,Need,May
30-05-2024,Education,Exam Fees,Aptitude test fee,1478.81,UPI,Need,May
21-05-2024,Bills,Rent,Hostel room rent,5243.69,Net Banking,Need,May
15-05-2024,Bills,Internet,BSNL broadband,453.15,Debit Card,Need,May
05-05-2024,Bills,Rent,Shared apartment- share,4795.88,Net Banking,Need,May
09-05-2024,Miscellaneous,Travel,Kodaikanal road trip share,2019.12,Credit Card,Want,May
05-05-2024,Transportation,Vehicle Maintenance,Bike service -TVS,322.68,UPI,Need,May
08-05-2024,Food,Dining Out,KFC weekend treat,700.62,Cash,Need,May
24-05-2024,Transportation,Vehicle Maintenance,Oil change,213.06,Debit Card,Need,May
18-05-2024,Bills,Mobile Recharge,Airtel postpaid bill,5143.58,Debit Card,Need,May
18-05-2024,Healthcare,Gym & Fitness,Cult.fit monthly pass,1254.05,Cash,Want,May
09-05-2024,Shopping,Electronics,Boat earphones,1575.5,Credit Card,Want,May
24-05-2024,Transportation,Vehicle Maintenance,Tyre puncture repair,420.99,Cash,Need,May
19-05-2024,Food,Snacks,Haldiram's pack,255.89,Credit Card,Need,May
14-05-2024,Bills,Internet,ACT Fibernet monthly,3280.76,Net Banking,Need,May
29-05-2024,Education,Books & Stationery,Amazon-textbook,1848,Debit Card,Need,May
19-05-2024,Entertainment,Events,Cultural show,386.67,Debit Card,Want,May
13-05-2024,Miscellaneous,Emergency Fund,Unexpected repair,3597.66,Debit Card,Need,May
12-05-2024,Shopping,Gifts,Anniversary present,351.13,Debit Card,Want,May
08-06-2024,Shopping,Home Essentials,Extension cord,1653.24,Debit Card,Need,June
05-06-2024,Entertainment,Events,Stand-up comedy,204.65,Cash,Want,June
17-06-2024,Healthcare,Insurance,Two-wheeler insurance,1985.75,Credit Card,Need,June
16-06-2024,Food,Beverages,Tender coconut,36.24,UPI,Want,June
03-06-2024,Miscellaneous,Emergency Fund,Lost wallet replacement,2436.12,Credit Card,Need,June
25-06-2024,Entertainment,Gaming,PlayStation Store,1032.76,UPI,Want,June
02-06-2024,Transportation,Public Transport,TNSTC bus fare,476.34,Cash,Need,June
28-06-2024,Healthcare,Medicines,Pharmacy - fever meds,1823.77,Credit Card,Need,June
04-06-2024,Bills,Internet,ACT Fibernet monthly,966.53,Auto-debit,Need,June
05-06-2024,Shopping,Electronics,Pen drive - Kingston,3207.77,Cash,Want,June
21-06-2024,Shopping,Personal Care,Nykaa skincare order,1692.33,Credit Card,Need,June
06-06-2024,Education,Books & Stationery,Printer paper,2903.45,UPI,Need,June
26-06-2024,Transportation,Vehicle Maintenance,Bike service - TVS,169.71,Cash,Need,June
22-06-2024,Miscellaneous,Emergency Fund,Emergency medicine,2346.55,Credit Card,Need,June
14-06-2024,Transportation,Ride Share,Auto fare- hospital,29.64,Debit Card,Want,June
20-06-2024,Healthcare,Insurance,Health insurance premium,1312.92,Net Banking,Need,June
03-06-2024,Shopping,Home Essentials,Detergent & soap,575.24,Credit Card,Need,June
13-06-2024,Shopping,Home Essentials,Detergent & soap,430.45,UPI,Need,June
13-06-2024,Bills,Rent,Hostel room rent,4088.82,Debit Card,Need,June
20-06-2024,Education,Exam Fees,Aptitude test fee,342.11,Debit Card,Need,June
15-06-2024,Bills,Electricity,EB bill - hostel share,4203.63,Net Banking,Need,June
17-06-2024,Miscellaneous,Stationery,Spiral binding,3424.69,Cash,Need,June
09-06-2024,Healthcare,Insurance,Student accident cover,749.41,Net Banking,Need,June
18-06-2024,Shopping,Electronics,Boat earphones,3326.64,Cash,Want,June
28-06-2024,Transportation,Ride Share,Ola outstation,583.09,Cash,Want,June
01-06-2024,Healthcare,Medicines,Vitamin D supplements,1584.61,Cash,Need,June
22-06-2024,Transportation,Parking,College parking - month,358.03,Cash,Need,June
24-06-2024,Healthcare,Medicines,Pharmacy - fever meds,590.69,Cash,Need,June
04-06-2024,Education,Coaching,Coding bootcamp deposit,2405.62,Net Banking,Want,June
22-06-2024,Food,Dining Out,Zomato order - Biryani,305.85,Cash,Need,June
29-06-2024,Healthcare,Doctor Visits,General physician visit,567.47,Cash,Need,June
18-06-2024,Bills,Subscriptions,Google One storage,4524.86,Debit Card,Need,June
25-06-2024,Miscellaneous,Emergency Fund,Unexpected repair,1818.98,UPI,Need,June
15-06-2024,Healthcare,Mental Health,Stress-relief workshop,253.97,Cash,Need,May
15-06-2024,Entertainment,Hobbies,Guitar strings,703.25,Cash,Want,April
,,,,,,,
